MW,LogP,NumHDonors,NumHAcceptors
540.8460000000002,4.707800000000003,2.0,7.0
428.53600000000034,4.349880000000003,1.0,6.0
493.5830000000002,3.9684000000000026,1.0,6.0
363.20000000000005,4.9280000000000035,1.0,5.0
507.61000000000024,4.853880000000004,1.0,6.0
501.38700000000017,3.2399000000000004,2.0,7.0
468.91300000000024,3.263820000000001,2.0,6.0
614.734,2.2305000000000006,5.0,6.0
481.51700000000017,1.4547999999999996,2.0,11.0
458.4930000000003,4.559200000000003,1.0,7.0
443.4130000000001,4.178000000000002,1.0,7.0
479.5560000000004,4.217780000000003,1.0,6.0
493.5830000000004,4.607880000000003,1.0,6.0
456.47700000000015,3.8274000000000026,1.0,6.0
494.52600000000035,4.198800000000003,1.0,6.0
380.4882035560002,3.061300000000002,1.0,6.0
507.54700000000025,4.1259200000000025,2.0,9.0
517.5170000000004,3.7646000000000015,2.0,9.0
518.5050000000003,3.159600000000002,2.0,10.0
534.9100000000002,4.806800000000003,2.0,8.0
527.5720000000002,3.701100000000003,1.0,7.0
394.51520355600024,3.4514000000000022,1.0,6.0
479.9400000000001,4.240900000000002,2.0,7.0
484.47500000000025,3.548020000000002,2.0,6.0
443.4130000000001,4.178000000000002,1.0,7.0
434.4680000000002,3.2475000000000014,2.0,7.0
438.4130000000002,3.7180800000000014,2.0,6.0
569.6810000000003,6.001580000000006,1.0,6.0
432.49900000000025,3.4778800000000016,1.0,5.0
497.6550000000004,4.561920000000004,3.0,5.0
511.5050000000002,3.0737000000000014,2.0,7.0
511.5050000000002,3.0737000000000014,2.0,7.0
474.53300000000024,3.263200000000001,1.0,7.0
445.8540000000001,2.680900000000001,1.0,6.0
464.5160000000003,4.942680000000004,1.0,6.0
658.8210000000001,4.073800000000004,4.0,7.0
390.3820000000002,1.5704799999999999,2.0,8.0
479.4840000000002,2.4296000000000006,1.0,7.0
425.4790000000002,3.745300000000003,1.0,4.0
494.5710000000004,4.002880000000002,1.0,7.0
489.96400000000034,3.0203800000000003,2.0,7.0
611.7830000000002,5.469100000000005,3.0,6.0
433.39000000000016,2.1178999999999997,2.0,7.0
498.53400000000033,3.560780000000001,1.0,7.0
434.92400000000015,3.808200000000002,2.0,6.0
521.5490000000004,4.6117000000000035,2.0,8.0
394.3530000000001,2.6770000000000005,2.0,6.0
636.859,5.062300000000004,4.0,7.0
504.5340000000003,3.356900000000002,1.0,7.0
474.53300000000024,3.264800000000001,1.0,7.0
417.4410000000001,2.3650800000000007,1.0,6.0
430.4650000000001,1.72875,3.0,7.0
483.62800000000044,4.253500000000003,3.0,5.0
464.5160000000003,4.942680000000004,1.0,6.0
634.7240000000002,3.226820000000001,3.0,6.0
450.4450000000003,4.0100000000000025,1.0,7.0
445.4010000000001,2.4639000000000006,2.0,7.0
538.0040000000004,5.126000000000004,2.0,8.0
460.8150000000002,3.634000000000002,2.0,6.0
524.4870000000002,4.630080000000002,2.0,8.0
471.4670000000002,4.6106000000000025,1.0,7.0
