molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1097007,nM,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(C)=O)C(C)C,370.0,6.431798275933005,Intermediate,530.7760000000002,2.219300000000003,5.0,6.0
CHEMBL1209054,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-c3cccs3)c2)CCCCC1,370.0,6.431798275933005,Intermediate,498.6390000000003,5.550600000000005,3.0,4.0
CHEMBL6025628,nM,NC1=N[C@@]2(c3nc(NC(=O)c4ccc(OC(F)F)cn4)cs3)CO[C@@H](C(F)(F)F)C[C@H]2CO1,371.0,6.430626090384954,Intermediate,493.41400000000016,2.8994000000000018,2.0,9.0
CHEMBL3901805,nM,C[C@H](F)COc1cnc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cn1,372.0,6.429457060118103,Intermediate,466.56400000000025,2.604,2.0,10.0
CHEMBL5818789,nM,Nc1nc(Nc2ccc(OCCN3CCCC3)cc2)nn1-c1nc2ccccc2s1,372.0,6.429457060118103,Intermediate,421.53000000000003,3.6774000000000022,2.0,9.0
CHEMBL3942282,nM,COc1cnc2c(Nc3ccc(F)c([C@]4(CF)C[C@@H](C(F)(F)F)OC(N)=N4)c3)nccc2c1,375.0,6.425968732272281,Intermediate,467.3980000000001,4.351800000000002,2.0,7.0
CHEMBL6013486,nM,COC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3cnc(Br)cn3)ccc1F)N=C(N)S2,375.0,6.425968732272281,Intermediate,495.3490000000001,4.0542000000000025,1.0,7.0
CHEMBL3688780,nM,CC(C)Oc1cnc2c(Nc3cc(Cl)c(F)c([C@@]4(CF)N=C(N)O[C@@H]5C[C@@H]54)c3)nccc2n1,375.0,6.425968732272281,Intermediate,474.8990000000002,4.246300000000002,2.0,8.0
CHEMBL3673201,nM,NC1=N[C@@]2(c3cc(CNCC(F)(F)F)ccc3F)CO[C@@H](CF)C[C@H]2CS1,376.0,6.424812155072339,Intermediate,409.42400000000015,3.1090000000000018,2.0,5.0
CHEMBL3953528,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)C3CCC3)cs2)CO1,376.0,6.424812155072339,Intermediate,366.5120000000002,2.5635000000000003,2.0,7.0
CHEMBL5765621,nM,C#Cc1ccc(F)c([C@@]2(C)N=C(N)S[C@@]3(C(=O)N(C)C)C[C@H]32)c1,378.0,6.422508200162775,Intermediate,331.4160000000001,1.9306000000000003,1.0,4.0
CHEMBL2408765,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(C(C)(C)C)cc21,378.0,6.422508200162775,Intermediate,444.56600000000026,4.337600000000004,3.0,3.0
CHEMBL3656167,nM,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCc2c(ccc(F)c2F)C1,378.3,6.422163658707256,Intermediate,456.4960000000003,4.579380000000003,1.0,5.0
CHEMBL3653386,nM,C[C@@]1(c2cc(Br)cc(NC(=O)c3ccc(C#N)cn3)c2)COCC(N)=N1,380.0,6.42021640338319,Intermediate,414.2630000000002,2.5706799999999994,2.0,6.0
CHEMBL5170123,nM,CC1c2cc(Oc3ccccc3)ccc2N=C(N)N1CCCC(=O)N(Cc1cnn(C)c1)C1CCCCC1,380.0,6.42021640338319,Intermediate,514.6740000000004,5.676900000000005,1.0,7.0
CHEMBL572290,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C#N)NC1,380.0,6.42021640338319,Intermediate,498.6180000000003,3.4310800000000015,4.0,5.0
CHEMBL605518,nM,CN1C(=O)C(c2cccc(NC(=O)c3ccc4c(c3)OCO4)c2)(C2CCCCC2)N=C1N,380.0,6.42021640338319,Intermediate,434.4960000000003,3.2299000000000007,2.0,6.0
CHEMBL2012069,nM,CN1C(=N)NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)C1=O,380.0,6.42021640338319,Intermediate,340.81400000000014,3.0036700000000014,2.0,3.0
CHEMBL3670378,nM,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@]2(C)COC(CF)(CF)C(N)=N2)c(F)cn1,380.0,6.42021640338319,Intermediate,432.4060000000001,2.3285,2.0,7.0
CHEMBL1208871,nM,C/C=C(\C)c1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,380.0,6.42021640338319,Intermediate,470.60400000000027,5.245300000000005,3.0,3.0
CHEMBL3650827,nM,N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(COC(N)=N2)C2(CC2)CO3)nc1,380.0,6.42021640338319,Intermediate,375.38800000000015,1.9183799999999998,2.0,7.0
CHEMBL584936,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCN(C(N)=O)CC1,380.0,6.42021640338319,Intermediate,516.6330000000003,3.330000000000001,4.0,4.0
CHEMBL5557978,nM,CC1c2cc(Oc3ccccc3)ccc2N=C(N)N1CCCC(=O)N(Cc1ccnn1C)C1CCCCC1,380.0,6.42021640338319,Intermediate,514.6740000000004,5.676900000000005,1.0,7.0
CHEMBL5921251,nM,Cc1cc(C2(c3cccc(C(F)(F)F)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,380.0,6.42021640338319,Intermediate,413.34600000000006,3.645520000000001,1.0,4.0
CHEMBL5415222,nM,CCCN1CCCCOc2cccc(c2)C[C@@H]([C@H](O)CNC(C)(C)c2cccc(OC)c2)NC(=O)c2cccc(c2)C1=O,380.0,6.42021640338319,Intermediate,587.7610000000003,4.946900000000004,3.0,6.0
CHEMBL398418,nM,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,380.0,6.42021640338319,Intermediate,569.6240000000001,4.722700000000004,3.0,5.0
CHEMBL2425604,nM,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cccc(OC(F)(F)F)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,382.0,6.417936637088291,Intermediate,588.5420000000001,3.7029000000000014,3.0,7.0
CHEMBL4761564,nM,Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(O)c1,382.0,6.417936637088291,Intermediate,339.35500000000013,1.8694,2.0,8.0
CHEMBL3650170,nM,COc1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)ccn1,384.0,6.415668775632469,Intermediate,391.4430000000001,3.4030000000000014,1.0,6.0
CHEMBL3650833,nM,NC1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(CC1CC1)C21COC1,388.0,6.411168274405792,Intermediate,378.43200000000024,2.2615000000000007,1.0,7.0
CHEMBL3703266,nM,COc1ccnc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)c1,388.0,6.411168274405792,Intermediate,381.4320000000002,2.4850000000000003,1.0,7.0
CHEMBL3650190,nM,Cc1cnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1,389.0,6.410050398674292,Intermediate,376.4320000000001,3.0978200000000014,1.0,6.0
CHEMBL3650772,nM,CC1(C)Oc2ccc(-c3cccc(C4CC4)c3)cc2C2(COC(N)=N2)C12COC2,389.0,6.410050398674292,Intermediate,390.48300000000023,3.9588000000000028,1.0,5.0
CHEMBL3909450,nM,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCOC(C)C)cc1C21N=C(N)N(C(C)C)C1=O,390.0,6.4089353929735005,Intermediate,443.58800000000025,3.382500000000001,1.0,6.0
